SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  131.253.14.229:443
SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE PROC_CREATE SVCHOST.EXE
52.114.159.34:443 READ_WRITE SVCHOST.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE C586E9FD6175DDD1F0BD2785AC9AE945E138B4D0.TBRES READ_WRITE TASKHOSTW.EXE READ_WRITE  104.100.149.44:443
SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE TASKHOSTW.EXE READ_WRITE B29227CA7340D887819653DEF2E45AACDFC53000.TBRES READ_WRITE SVCHOST.EXE READ_WRITE  52.143.82.23:443
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  131.253.14.229:443
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  72.21.91.29:80
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  104.100.149.44:443
ONEDRIVE.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442 READ_WRITE SVCHOST.EXE READ_WRITE 6BADA8974A10C4BD62CC921D13E43B18_711ED44619924BA6DC33E69F97E7FF63 READ_WRITE TASKHOSTW.EXE READ_WRITE  13.107.42.12:443
