src,dst,count
shellexperiencehost.exe,shellexperiencehost.exe,17
shellexperiencehost.exe,werfault.exe,1
shutdown,shutdown,1
sihclient.exe,conhost.exe,52
sihclient.exe,sihclient.exe,72
sihost.exe,sihost.exe,21
skypebackgroundhost.exe,skypebackgroundhost.exe,12
slui.exe,slui.exe,82
smartscreen.exe,smartscreen.exe,883
smss.exe,csrss.exe,10
smss.exe,smss.exe,28
smss.exe,winlogon.exe,9
speechmodeldownload.exe,speechmodeldownload.exe,27
speechruntime.exe,speechruntime.exe,9
splwow64.exe,splwow64.exe,6
sppextcomobj.exe,slui.exe,80
sppextcomobj.exe,sppextcomobj.exe,62
sppsvc.exe,sppsvc.exe,245
srtasks.exe,conhost.exe,6
srtasks.exe,srtasks.exe,9
ssh-agent.exe,mpcmdrun.exe,1
ssh-agent.exe,ssh-agent.exe,90416
ssh-shellhost.exe,cmd.exe,14242
ssh-shellhost.exe,ssh-shellhost.exe,15028
ssh.exe,ssh.exe,2634
sshd.exe,conhost.exe,16906
sshd.exe,explorer.exe,1
sshd.exe,mpcmdrun.exe,2
sshd.exe,scp,1862
sshd.exe,ssh-shellhost.exe,15044
sshd.exe,sshd.exe,27339
svchost.exe,apphostregistrationverifier.exe,10
svchost.exe,appidcertstorecheck.exe,12
svchost.exe,applicationframehost.exe,7
svchost.exe,backgroundtaskhost.exe,3826
svchost.exe,backgroundtransferhost.exe,480
svchost.exe,browser_broker.exe,27
svchost.exe,cleanmgr.exe,10
svchost.exe,cliprenew.exe,1
svchost.exe,compattelrunner.exe,20
svchost.exe,consent.exe,14
svchost.exe,csrss.exe,3
svchost.exe,ctfhost2.exe,1
svchost.exe,ctfmon.exe,34
svchost.exe,dashost.exe,10
svchost.exe,defrag.exe,8
svchost.exe,devicecensus.exe,10
svchost.exe,disksnapshot.exe,10
svchost.exe,dllhost.exe,14289
svchost.exe,dmclient.exe,10
svchost.exe,dstokenclean.exe,10
svchost.exe,hxtsr.exe,11
svchost.exe,lpremove.exe,3
svchost.exe,mdmagent.exe,7
svchost.exe,microsoft.photos.exe,103
svchost.exe,microsoftedge.exe,25
svchost.exe,microsoftedgecp.exe,232
svchost.exe,microsoftpdfreader.exe,1
svchost.exe,mobsync.exe,7
svchost.exe,mpcmdrun.exe,39
svchost.exe,msoia.exe,57
svchost.exe,musnotification.exe,42
svchost.exe,officec2rclient.exe,64
svchost.exe,onedrivestandaloneupdater.exe,11
svchost.exe,provtool.exe,4
svchost.exe,python.exe,1
svchost.exe,rundll32.exe,15
svchost.exe,runtimebroker.exe,307
svchost.exe,sc.exe,31
svchost.exe,sdiagnhost.exe,3
svchost.exe,searchui.exe,13
svchost.exe,shellexperiencehost.exe,12
svchost.exe,sihclient.exe,12
svchost.exe,sihost.exe,14
svchost.exe,skypebackgroundhost.exe,7
svchost.exe,smartscreen.exe,661
svchost.exe,speechmodeldownload.exe,10
svchost.exe,speechruntime.exe,5
svchost.exe,sppextcomobj.exe,27
svchost.exe,srtasks.exe,2
svchost.exe,svchost.exe,13468
svchost.exe,systemsettings.exe,5
svchost.exe,taskhostw.exe,301
svchost.exe,tiworker.exe,1933
svchost.exe,tzsync.exe,2
svchost.exe,usoclient.exe,12
svchost.exe,waasmedic.exe,10
svchost.exe,werfault.exe,29
svchost.exe,wermgr.exe,987
svchost.exe,windows.warp.jitservice.exe,29
svchost.exe,wininit.exe,3
svchost.exe,winstore.app.exe,5
svchost.exe,wmiadap.exe,4
svchost.exe,wmiprvse.exe,32
svchost.exe,wsqmcons.exe,41
svchost.exe,wuapihost.exe,101
system,acuity_service.exe,7
system,apphostregistrationverifier.exe,42
system,appidcertstorecheck.exe,43
system,applicationframehost.exe,15
system,audiodg.exe,9
system,backgroundtaskhost.exe,9035
system,backgroundtransferhost.exe,120
system,bcdedit,1
system,browser_broker.exe,40
system,c,20
system,cleanmgr.exe,39
system,cliprenew.exe,2
system,cmd.exe,15607
system,compattelrunner.exe,220
system,conhost.exe,45330
system,consent.exe,14
system,csrss.exe,27
system,ctfhost2.exe,1
system,ctfmon.exe,34
system,dashost.exe,10
system,defrag.exe,25
system,devicecensus.exe,84
system,disksnapshot.exe,39
system,dismhost.exe,21
system,dllhost.exe,25229
system,dmclient.exe,39
system,dstokenclean.exe,39
system,dwm.exe,7
system,eventvwr.exe,4
system,explorer.exe,13
system,firefox.exe,460
system,fontdrvhost.exe,7
system,grpconv.exe,5
system,hostname,866
system,hostname.exe,1
system,hxtsr.exe,12
system,infdefaultinstall.exe,6
system,ipconfig,817
system,lockapp.exe,1
system,logonui.exe,8
system,lpremove.exe,12
system,mdmagent.exe,20
system,microsoft.photos.exe,61
system,microsoftedge.exe,38
system,microsoftedgecp.exe,309
system,microsoftpdfreader.exe,1
system,mmc.exe,30
system,mobsync.exe,22
system,mpcmdrun.exe,40
system,msiexec.exe,1
system,msmpeng.exe,7
system,msoia.exe,57
system,musnotification.exe,145
system,net1,11
system,netstat,2767
system,netstat.exe,1
system,nissrv.exe,7
system,notepad.exe,230
system,nssm.exe,7
system,officec2rclient.exe,64
system,officeclicktorun.exe,7
system,onedrivestandaloneupdater.exe,11
system,ping,5350
system,ping.exe,1
system,powercfg,158
system,powershell_ise.exe,2
system,provtool.exe,13
system,python.exe,1
system,rdpinput.exe,9
system,route.exe,691
system,rundll32.exe,48
system,runonce.exe,6
system,runtimebroker.exe,746
system,sc,5
system,sc.exe,119
system,scp,1866
system,sdiagnhost.exe,7
system,searchfilterhost.exe,5900
system,searchindexer.exe,6
system,searchprotocolhost.exe,4743
system,searchui.exe,30
system,securityhealthservice.exe,12
system,sethc.exe,16
system,shellexperiencehost.exe,27
system,shutdown,1
system,sihclient.exe,48
system,sihost.exe,14
system,skypebackgroundhost.exe,8
system,slui.exe,81
system,smartscreen.exe,1253
system,smss.exe,28
system,speechmodeldownload.exe,37
system,speechruntime.exe,14
system,spoolsv.exe,7
system,sppextcomobj.exe,51
system,sppsvc.exe,382
system,srtasks.exe,11
system,ssh,1860
system,ssh-agent.exe,9
system,sshd.exe,10
system,svchost.exe,20495
system,systeminfo,6364
system,systempropertiesadvanced.exe,8
system,systemsettings.exe,14
system,taskhostw.exe,301
system,tasklist,1012
system,tasklist.exe,1
system,taskmgr.exe,2
system,tester.exe,1
system,tiworker.exe,1061
system,trustedinstaller.exe,1291
system,tstheme.exe,20
system,tvnserver.exe,10
system,tzsync.exe,7
system,userinit.exe,16
system,usoclient.exe,45
system,vssvc.exe,53
system,waasmedic.exe,38
system,werfault.exe,88
system,wermgr.exe,3762
system,whoami,702
system,whoami.exe,2
system,windows.warp.jitservice.exe,56
system,wininit.exe,4
system,winlogon.exe,11
system,winsat.exe,8
system,winstore.app.exe,5
system,winword.exe,2
system,wmi_exporter.exe,7
system,wmiadap.exe,4
system,wmiapsrv.exe,7167
system,wmiprvse.exe,303
system,wsqmcons.exe,158
system,wuapihost.exe,196
systeminfo,systeminfo,3642
systempropertiesadvanced.exe,systempropertiesadvanced.exe,8
systemsettings.exe,systemsettings.exe,9
taskhostw.exe,ngentask.exe,42
taskhostw.exe,taskhostw.exe,839
taskkill,taskkill,2
tasklist,tasklist,1141
tasklist,tasklist.exe,1
tasklist.exe,tasklist.exe,1
taskmgr.exe,taskmgr.exe,2
tester.exe,tester.exe,1
thunderbird.exe,thunderbird.exe,397
tiworker.exe,tiworker.exe,2338
trustedinstaller.exe,trustedinstaller.exe,2343
tstheme.exe,tstheme.exe,20
tvnserver.exe,hookldr.exe,3
tvnserver.exe,mpcmdrun.exe,2
tvnserver.exe,tvnserver.exe,9023
tzsync.exe,conhost.exe,4
tzsync.exe,tzsync.exe,5
tzutil,tzutil,19
userinit.exe,explorer.exe,13
userinit.exe,userinit.exe,14
usoclient.exe,usoclient.exe,33
vc_redist.x86.exe,vc_redist.x86.exe,1
vc_redist_2015.x64.exe,vc_redist_2015.x64.exe,2
vc_redist_2015.x86.exe,vc_redist_2015.x86.exe,1
vcredist_2013_x64.exe,vcredist_2013_x64.exe,2
vcredist_2013_x86.exe,vcredist_2013_x86.exe,1
vcredist_x64.exe,vcredist_x64.exe,1
vcredist_x86.exe,vcredist_x86.exe,1
vssvc.exe,vssvc.exe,36
w32tm.exe,w32tm.exe,28
waasmedic.exe,c,20
waasmedic.exe,waasmedic.exe,28
werfault.exe,explorer.exe,2
werfault.exe,werfault.exe,128
werfault.exe,winword.exe,2
wermgr.exe,wermgr.exe,2775
whoami,whoami,817
whoami,whoami.exe,2
whoami.exe,whoami.exe,2
windows.warp.jitservice.exe,windows.warp.jitservice.exe,27
wininit.exe,csrss.exe,1
wininit.exe,fontdrvhost.exe,9
wininit.exe,lsass.exe,9
wininit.exe,services.exe,9
wininit.exe,werfault.exe,4
wininit.exe,wininit.exe,1
wininit.exe,winlogon.exe,1
winlogon.exe,dwm.exe,38
winlogon.exe,fontdrvhost.exe,38
winlogon.exe,logonui.exe,64
winlogon.exe,userinit.exe,30
winlogon.exe,winlogon.exe,32
winsat.exe,conhost.exe,4
winsat.exe,winsat.exe,4
winstore.app.exe,winstore.app.exe,4
winword.exe,firefox.exe,393
winword.exe,splwow64.exe,8
winword.exe,werfault.exe,1
winword.exe,winword.exe,669
wmiadap.exe,wmiadap.exe,12
wmiapsrv.exe,wmiapsrv.exe,4613
wmic,wmic,3
wmiprvse.exe,wmiprvse.exe,560
wordpad.exe,ctfmon.exe,1
wordpad.exe,wordpad.exe,454
wsqmcons.exe,wsqmcons.exe,117
wuapihost.exe,wuapihost.exe,136
